Event/Description,Position,A/C,Dimension,To go,Expected,Planned,Workpackage,W/O-Flags
FF100FH/W11703605 /FUERA DE FASE 100 FH,,CKZ,H,03:10,13.07.2025,12.07.2025,CKZ64162,11703605
E190-53-0189/W11733053 /LV-CKZ - WING TO FUSELAGE FAIRING - RH - SPEED TAPE INSPECTION,,CKZ,C,-2,13.07.2025,---,0,11733053
FF100FH/W11717906 /FUERA DE FASE 100 FH,,GIQ,H,09:02,13.07.2025,13.07.2025,GIQ64168,11717906
E190-54-0020/W11065205 /LH PYLON LOWER LONK LUGS INSPECTION,,GIQ,C,-5,13.07.2025,---,0,11065205
E190-54-0021/W11065192 /RH PYLON LOWER LONK LUGS INSPECTION,,GIQ,C,-5,13.07.2025,---,0,11065192
E190-31-0008/W11733194 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CDY,D,0,14.07.2025,---,0,11733194
E190-31-0008/W11741956 /P408674 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CDZ,D,0,14.07.2025,---,0,11741956
E190-26-0002/W11122856 /FIRE PROTECTION - COLOR CODED IDENTIFICATION FOR ELECTRICAL WIRING CON,,CDZ,H,11:11,14.07.2025,---,0,11122856
E190-31-0008/W11741951 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CET,D,0,14.07.2025,---,0,11741951
E190-31-0008/W11661645 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CEU,D,0,14.07.2025,---,0,11661645
DIARIA E-190/W11758605 /DIARIA EMBRAER E-190,,CEV,D,"-2h, 28m",14.07.2025,---,0,11758605
E190-31-0008/W11741941 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CEV,D,0,14.07.2025,---,0,11741941
11771721/P408784 /MLG WHEEL ASSY #4 DESGASTE AL LÍMITE MLG WHEEL ASSY #4  AL LÍMITE DEL DESGASTE.-,004,CEV,D,"-2h, 5m",14.07.2025,---,0,11771721
E190-31-0008/W11734051 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CHO,D,0,14.07.2025,---,0,11734051
E190-31-0008/W11741938 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CHQ,D,0,14.07.2025,---,0,11741938
FF100FH/W11712901 /FUERA DE FASE 100 FH,,CHR,H,13:18,14.07.2025,13.07.2025,CHR64164,11712901
E190-31-0008/W11738924 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CHR,D,0,14.07.2025,---,0,11738924
E190-31-0008/W11741930 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CHS,D,0,14.07.2025,---,0,11741930
FF350FH/W11367391 /FUERA DE FASE 350 FH,,CID,H,12:47,14.07.2025,13.07.2025,CID64170,11367391
E190-31-0008/W11737384 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CID,D,0,14.07.2025,---,0,11737384
E190-31-0008/W11737366 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CIE,D,0,14.07.2025,---,0,11737366
E190-31-0008/W11733140 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CIF,D,0,14.07.2025,---,0,11733140
E190-31-0008/W11741948 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CIG,D,0,14.07.2025,---,0,11741948
E190-31-0008/W11737387 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CKZ,D,0,14.07.2025,---,0,11737387
FF100FH/W11708504 /FUERA DE FASE 100 FH,,CMA,H,11:31,14.07.2025,11.07.2025,CMA64160,11708504
E190-31-0008/W11738920 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CMA,D,0,14.07.2025,---,0,11738920
